tarea,prioridad
enviar correo al profesor,Alta
mañana tengo que preparar defensa de tesis,Alta
esta semana tengo que practicar ejercicios de matematicas,Media
esta semana tengo que hacer compras del supermercado,Media
urgente comprar azucar,Media
hoy tengo que reunion importante con el jefe,Alta
mañana tengo que revisar galeria de fotos,Baja
preparar defensa de tesis lo antes posible,Alta
revisar apuntes de clase,Media
entregar solicitud de beca hoy lo antes posible,Alta
pasear por redes sociales lo antes posible,Baja
buscar fondo de pantalla lo antes posible,Baja
practicar ejercicios de matematicas,Media
actualizar el CV lo antes posible,Media
organizar carpeta de documentos lo antes posible,Media
revisar galeria de fotos,Baja
esta semana tengo que hacer compras del supermercado,Media
hoy tengo que hacer compras del supermercado,Media
ver episodio de serie,Baja
mañana tengo que jugar videojuego,Baja
mañana tengo que preparar defensa de tesis,Alta
mañana tengo que ver episodio de serie,Baja
asistir a entrevista laboral,Alta
actualizar el CV,Media
jugar videojuego,Baja
esta semana tengo que ordenar habitacion,Media
ir al banco antes de que cierre,Alta
hoy tengo que practicar ejercicios de matematicas,Media
estudiar para el examen final,Alta
escribir en el diario lo antes posible,Media
escribir en el diario,Media
escribir en el diario,Media
mañana tengo que organizar carpeta de documentos,Media
mañana tengo que escuchar musica nueva,Baja
hacer compras del supermercado lo antes posible,Media
leer memes lo antes posible,Baja
esta semana tengo que pasear por redes sociales,Baja
planificar actividades del fin de semana lo antes posible,Media
hoy tengo que reunion importante con el jefe,Alta
entregar solicitud de beca hoy lo antes posible,Alta
revisar apuntes de clase,Media
esta semana tengo que estudiar para el examen final,Alta
hoy tengo que leer capitulo del libro,Media
practicar ejercicios de matematicas,Media
entregar solicitud de beca hoy lo antes posible,Alta
practicar ejercicios de matematicas,Media
mañana tengo que pasear por redes sociales,Baja
preparar defensa de tesis lo antes posible,Alta
escuchar musica nueva,Baja
mañana tengo que entregar proyecto hoy,Alta
entregar proyecto hoy,Alta
hoy tengo que limpiar archivos viejos,Baja
ver episodio de serie,Baja
hoy tengo que ordenar los marcadores del navegador,Baja
explorar ideas para vacaciones,Baja
leer memes,Baja
jugar videojuego,Baja
hoy tengo que presentar informe urgente,Alta
esta semana tengo que ver episodio de serie,Baja
escuchar música nueva,Baja
ir al banco antes de que cierre,Alta
revisar apuntes de clase lo antes posible,Media
resolver emergencia médica,Alta
esta semana tengo que estudiar para el examen final,Alta
pasear por redes sociales,Baja
leer memes lo antes posible,Baja
ir al banco antes de que cierre,Alta
ir al banco antes de que cierre,Alta
preparar defensa de tesis,Alta
limpiar archivos viejos,Baja
esta semana tengo que preparar defensa de tesis,Alta
mañana tengo que escuchar música nueva,Baja
entregar solicitud de beca hoy lo antes posible,Alta
entregar proyecto hoy lo antes posible,Alta
mañana tengo que organizar carpeta de documentos,Media
actualizar el CV lo antes posible,Media
esta semana tengo que estudiar para el examen final,Alta
esta semana tengo que estudiar para el examen final,Alta
esta semana tengo que pasear por redes sociales,Baja
esta semana tengo que escribir en el diario,Media
resolver emergencia médica lo antes posible,Alta
revisar apuntes de clase,Media
entregar proyecto hoy,Alta
revisar apuntes de clase,Media
ordenar habitación lo antes posible,Media
hoy tengo que leer memes,Baja
buscar fondo de pantalla,Baja
mañana tengo que organizar carpeta de documentos,Media
revisar apuntes de clase,Media
entregar proyecto hoy,Alta
mañana tengo que buscar fondo de pantalla,Baja
hoy tengo que lavar la ropa,Media
preparar defensa de tesis,Alta
practicar ejercicios de matemáticas,Media
mañana tengo que ordenar los marcadores del navegador,Baja
hacer compras del supermercado,Media
asistir a entrevista laboral lo antes posible,Alta
ir al banco antes de que cierre,Alta
buscar fondo de pantalla lo antes posible,Baja
hacer compras del supermercado,Media
ordenar habitación lo antes posible,Media
escuchar música nueva,Baja
hoy tengo que resolver emergencia médica,Alta
hoy tengo que ordenar los marcadores del navegador,Baja
actualizar el CV,Media
reunión importante con el jefe,Alta
limpiar archivos viejos lo antes posible,Baja
hoy tengo que practicar ejercicios de matemáticas,Media
ir al banco antes de que cierre,Alta
planificar actividades del fin de semana,Media
preparar defensa de tesis lo antes posible,Alta
revisar apuntes de clase lo antes posible,Media
buscar fondo de pantalla lo antes posible,Baja
mañana tengo que preparar defensa de tesis,Alta
mañana tengo que estudiar para el examen final,Alta
escuchar música nueva,Baja
revisar galería de fotos lo antes posible,Baja
entregar solicitud de beca hoy,Alta
esta semana tengo que resolver emergencia médica,Alta
estudiar para el examen final lo antes posible,Alta
escribir en el diario,Media
actualizar el CV,Media
resolver emergencia médica,Alta
escuchar música nueva,Baja
hoy tengo que asistir a entrevista laboral,Alta
entregar solicitud de beca hoy,Alta
asistir a entrevista laboral,Alta
limpiar archivos viejos,Baja
limpiar archivos viejos,Baja
practicar ejercicios de matemáticas lo antes posible,Media
mañana tengo que asistir a entrevista laboral,Alta
entregar solicitud de beca hoy,Alta
mañana tengo que preparar defensa de tesis,Alta
hoy tengo que presentar informe urgente,Alta
hoy tengo que revisar apuntes de clase,Media
presentar informe urgente lo antes posible,Alta
estudiar para el examen final lo antes posible,Alta
mañana tengo que entregar solicitud de beca hoy,Alta
esta semana tengo que enviar correo al profesor,Alta
